Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Control of Corruption: Percentile Rank,CC.PER.RNK,Ghana,GHA,54.82233,57.61905,57.34597,54.9763,55.45024,52.40385,52.88462,52.40385,49.03846,52.88462,52.40385
Control of Corruption: Percentile Rank,CC.PER.RNK,Greece,GRC,75.12691,56.66667,55.45024,52.60664,57.8199,53.36538,55.28846,55.28846,52.88462,55.76923,56.25
Control of Corruption: Percentile Rank,CC.PER.RNK,Greenland,GRL,..,85.2381,85.30806,84.83412,84.36019,84.13461,84.13461,83.65385,84.13461,84.13461,82.21154
Control of Corruption: Percentile Rank,CC.PER.RNK,Grenada,GRD,72.08121,70,69.19431,69.19431,67.77251,62.98077,68.75,69.71154,67.30769,66.82692,64.90385
Control of Corruption: Percentile Rank,CC.PER.RNK,Guam,GUM,..,77.14286,75.82938,76.30331,76.77725,87.01923,87.01923,87.5,86.53846,86.53846,87.5
Control of Corruption: Percentile Rank,CC.PER.RNK,Guatemala,GTM,27.91878,35.71429,36.49289,29.38389,32.22749,27.40385,25,24.03846,24.03846,22.11539,18.75
Control of Corruption: Percentile Rank,CC.PER.RNK,Guinea,GIN,17.7665,8.095238,13.27014,15.16588,13.74408,13.46154,14.42308,15.86539,14.42308,13.94231,18.26923
Control of Corruption: Percentile Rank,CC.PER.RNK,Guinea-Bissau,GNB,12.18274,11.90476,11.84834,6.161138,4.739336,2.884615,2.403846,2.884615,2.884615,3.365385,5.288462
Control of Corruption: Percentile Rank,CC.PER.RNK,Guyana,GUY,41.11675,34.28571,32.22749,26.06635,29.85782,26.92308,31.25,44.23077,37.5,46.63462,51.92308
Control of Corruption: Percentile Rank,CC.PER.RNK,Haiti,HTI,6.091371,10,7.109005,9.00474,11.84834,9.134615,10.09615,7.692307,10.09615,9.615385,8.173077
Control of Corruption: Percentile Rank,CC.PER.RNK,Honduras,HND,17.25888,19.52381,21.32701,17.53555,18.00948,23.55769,32.69231,29.80769,25.48077,29.32692,23.07692
Control of Corruption: Percentile Rank,CC.PER.RNK,"Hong Kong SAR, China",HKG,86.29442,94.7619,94.3128,93.36493,91.94313,92.30769,92.78846,91.82692,92.30769,92.30769,92.30769
Control of Corruption: Percentile Rank,CC.PER.RNK,Hungary,HUN,77.66498,68.57143,68.72038,67.29858,65.87678,60.57692,61.53846,60.57692,59.13462,59.61538,57.69231
Control of Corruption: Percentile Rank,CC.PER.RNK,Iceland,ISL,98.47716,94.28571,94.78673,94.78673,95.7346,93.75,95.67308,95.19231,93.26923,94.23077,92.78846
Control of Corruption: Percentile Rank,CC.PER.RNK,India,IND,44.16244,38.57143,35.54502,36.96682,36.96682,41.82692,44.71154,47.59615,48.55769,49.51923,47.59615
Control of Corruption: Percentile Rank,CC.PER.RNK,Indonesia,IDN,19.28934,24.76191,25.11848,31.27962,32.70142,33.65385,39.42308,41.82692,48.07692,46.15385,37.98077
Control of Corruption: Percentile Rank,CC.PER.RNK,"Iran, Islamic Rep.",IRN,39.59391,17.61905,20.37915,23.22275,27.96209,31.25,31.73077,26.44231,20.67308,15.86539,14.90385
Control of Corruption: Percentile Rank,CC.PER.RNK,Iraq,IRQ,2.030457,6.190476,11.37441,9.478673,7.582938,5.769231,4.807693,6.25,6.730769,7.211538,8.653846
Control of Corruption: Percentile Rank,CC.PER.RNK,Ireland,IRL,90.35533,92.85714,91.46919,90.52132,90.04739,91.82692,92.30769,92.30769,91.34615,90.86539,89.42308
